,test books,Engineered features + LogReg,Engineered features + Random Forest,TF-IDF + LogReg,Embeddings (470K params),"Embeddings, tuned (medium)"
Childrens,6,0.6,0.2222,0.6667,0.2,0.4
Fantasy,10,0.4211,0.3478,0.5333,0.0,0.1538
Fiction,13,0.4375,0.303,0.4706,0.4286,0.3333
Food and Drink,6,0.8571,0.8571,0.8333,0.8333,0.6667
Historical Fiction,5,0.0,0.0,0.2857,0.0,0.4
Mystery,6,0.4286,0.3636,0.3636,0.5,0.4444
Nonfiction,22,0.6316,0.6154,0.6957,0.5758,0.7179
Romance,7,0.375,0.2857,0.3333,0.0,0.4286
Sequential Art,15,0.7407,0.7742,0.8387,0.4762,0.7143
Young Adult,11,0.3077,0.087,0.7273,0.0,0.3529
